num_of_features, hidden_layer_size, momentum, mean_score, std_score
30,               20,                0.9,      0.68299384, 0.033055342
30,               30,                0.0,      0.68589653, 0.033191887
30,               30,                0.9,      0.71276571, 0.025058959
30,               40,                0.0,      0.72339837, 0.026708777
30,               40,                0.9,      0.73894506, 0.030140681
31,               20,                0.0,      0.6643523, 0.064611934
31,               20,                0.9,      0.69879478, 0.041605944
31,               30,                0.0,      0.72074304, 0.026524326
31,               30,                0.9,      0.70276176, 0.033090058
31,               40,                0.0,      0.7311865, 0.012637239
31,               40,                0.9,      0.73894703, 0.022932588
32,               20,                0.0,      0.65284504, 0.074808381
32,               20,                0.9,      0.68524021, 0.042553251
32,               30,                0.0,      0.71472974, 0.036197455
32,               30,                0.9,      0.71807243, 0.031998185
32,               40,                0.0,      0.73273417, 0.028363133
32,               40,                0.9,      0.73606455, 0.018096816
33,               20,                0.0,      0.69478295, 0.042838331
33,               20,                0.9,      0.66464449, 0.062434399
33,               30,                0.0,      0.71185612, 0.032514592
33,               30,                0.9,      0.72049815, 0.045982983
33,               40,                0.0,      0.72962651, 0.025329799
33,               40,                0.9,      0.73717418, 0.023174893
34,               20,                0.0,      0.67569943, 0.049431714
34,               20,                0.9,      0.67835427, 0.027883795
34,               30,                0.0,      0.7331663, 0.04629606
34,               30,                0.9,      0.72762306, 0.03249008
34,               40,                0.0,      0.73628283, 0.026270404
34,               40,                0.9,      0.73117073, 0.029285554
35,               20,                0.0,      0.69322641, 0.030777774
35,               20,                0.9,      0.67568761, 0.045992156
35,               30,                0.0,      0.73339394, 0.02903455
35,               30,                0.9,      0.71963538, 0.024853263
35,               40,                0.0,      0.74027593, 0.020207957
35,               40,                0.9,      0.73873663, 0.026535159
36,               20,                0.0,      0.68148066, 0.047934027
36,               20,                0.9,      0.70542005, 0.033157411
36,               30,                0.0,      0.72428135, 0.029518479
36,               30,                0.9,      0.73295442, 0.012068863
36,               40,                0.0,      0.74005617, 0.024667691
36,               40,                0.9,      0.73141119, 0.02622332
37,               20,                0.0,      0.68410446, 0.04640988
37,               20,                0.9,      0.66524957, 0.034588433
37,               30,                0.0,      0.73028036, 0.032951612
37,               30,                0.9,      0.74048928, 0.027400736
37,               40,                0.0,      0.74360335, 0.025871403
37,               40,                0.9,      0.74362109, 0.019856168
38,               20,                0.0,      0.69053905, 0.038441967
38,               20,                0.9,      0.65372407, 0.055291451
38,               30,                0.0,      0.73738852, 0.023107846
38,               30,                0.9,      0.72584528, 0.032413479
38,               40,                0.0,      0.74894013, 0.017648208
38,               40,                0.9,      0.73981178, 0.036737859
39,               20,                0.0,      0.64464006, 0.083374326
39,               20,                0.9,      0.66968465, 0.046677105
39,               30,                0.0,      0.74137669, 0.031581472
39,               30,                0.9,      0.73052821, 0.018692042
39,               40,                0.0,      0.74760039, 0.02590708
39,               40,                0.9,      0.7502641, 0.03085909
